Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
77,24-01-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,34,260.3333333,NA
77,28-01-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,34,201,NA
77,31-01-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,36,242,NA
77,03-02-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,7,36,210.6666667,NA
77,10-02-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,35,292.6666667,NA
77,12-02-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,30,274.6666667,NA
77,19-02-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,36,138,NA
77,21-02-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,35,185.3333333,NA
77,24-02-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,38,216,NA
77,25-02-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,33,75.33333333,NA
77,26-02-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,36,153.6666667,NA
77,28-02-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,36,140.3333333,NA
77,03-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,34,266.3333333,NA
77,04-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,32,53,NA
77,06-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,31,172,NA
77,07-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,31,132,NA
77,10-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,35,192.3333333,NA
77,13-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,34,186.3333333,NA
77,17-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,7,38,165,NA
77,18-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,7,30,227,NA
77,20-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,18,306.3333333,NA
77,24-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,25,221.6666667,NA
77,25-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,21,150.6666667,NA
77,26-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,22,205.3333333,NA
77,28-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,17,247.6666667,NA
77,30-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,20,162.3333333,NA
77,31-03-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,15,240.3333333,NA
77,02-04-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,7,36,219.6666667,NA
77,08-04-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,17,197,NA
77,10-04-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,17,238,NA
77,16-04-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,37,275.6666667,NA
77,18-04-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,31,284.3333333,NA
77,23-04-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,25,258.6666667,NA
77,25-04-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,29,309.3333333,NA
77,28-04-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,7,14,303,NA
77,30-04-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,19,349.6666667,NA
